agno,mes,pmen,tmax,tmin,estacion,fecha,etp,bal
1965,2,0,28.9,16.3,Cogotí,1965-02-01,169.6888094713881,-169.6888094713881
1965,3,0,25.9,13.7,Cogotí,1965-03-01,168.07155718638094,-168.07155718638094
1965,4,2,23.3,11.3,Cogotí,1965-04-01,152.8450694366049,-150.8450694366049
1965,5,38,21.4,8.4,Cogotí,1965-05-01,122.46746275071985,-84.46746275071985
1965,6,2.4,21.9,8.4,Cogotí,1965-06-01,119.6575654294213,-117.25756542942129
1965,7,153.5,17,5.8,Cogotí,1965-07-01,73.51250559493123,79.98749440506877
1965,8,161.5,16,6,Cogotí,1965-08-01,55.210678746583014,106.28932125341699
1965,9,0,19.4,6.9,Cogotí,1965-09-01,55.31193293891482,-55.31193293891482
1965,10,0,22.8,9.4,Cogotí,1965-10-01,68.72187268192779,-68.72187268192779
1965,11,1.2,24.6,11.3,Cogotí,1965-11-01,90.31463972501984,-89.11463972501984
1965,12,0,27.8,14,Cogotí,1965-12-01,124.47614012015732,-124.47614012015732
1966,1,0,27.2,13.6,Cogotí,1966-01-01,152.85947052421864,-152.85947052421864
1966,2,0,26.8,12.7,Cogotí,1966-02-01,166.84225947679425,-166.84225947679425
1966,3,0,25.9,12,Cogotí,1966-03-01,175.34412012686977,-175.34412012686977
1966,4,8,23.5,10.6,Cogotí,1966-04-01,157.34441485090244,-149.34441485090244
1966,5,0,23.7,9.1,Cogotí,1966-05-01,135.73874373510736,-135.73874373510736
1966,6,126.6,15.2,5.6,Cogotí,1966-06-01,86.35800164271672,40.24199835728328
1966,7,88.5,17.6,6.9,Cogotí,1966-07-01,73.9444746645158,14.555525335484205
1966,8,15.2,17.7,5.3,Cogotí,1966-08-01,62.54737119781552,-47.34737119781552
1966,9,0,20.1,6.5,Cogotí,1966-09-01,57.973967004486695,-57.973967004486695
1966,10,0,23.5,9.4,Cogotí,1966-10-01,71.22181227946346,-71.22181227946346
1966,11,0,23.8,10.7,Cogotí,1966-11-01,87.87795811407597,-87.87795811407597
1966,12,0,25.7,12.2,Cogotí,1966-12-01,116.91219981821435,-116.91219981821435
1967,1,0,27.6,13.8,Cogotí,1967-01-01,155.1885968903299,-155.1885968903299
1967,2,0,27.3,14,Cogotí,1967-02-01,165.9238169000038,-165.9238169000038
1967,3,0,25.6,12.2,Cogotí,1967-03-01,171.92733328208757,-171.92733328208757
1967,4,0,26.2,10.6,Cogotí,1967-04-01,179.73165102833661,-179.73165102833661
1967,5,0,20.1,7.7,Cogotí,1967-05-01,115.95017176372116,-115.95017176372116
1967,6,18,19,4.7,Cogotí,1967-06-01,110.8180683120037,-92.8180683120037
1967,7,74,16.5,4.3,Cogotí,1967-07-01,74.09661807770787,-0.09661807770787334
1967,8,4,20.9,6.8,Cogotí,1967-08-01,72.04666281673717,-68.04666281673717
1967,9,40,17.8,5.2,Cogotí,1967-09-01,52.572189988244716,-12.572189988244716
