agno,mes,dia,valor
1943,5,5,14
1943,6,5,111
1943,7,5,16
1943,8,5,54
1943,9,5,2
1943,10,5,0
1943,11,5,0
1943,12,5,0
1944,1,5,0
1944,2,5,6
1944,3,5,0
1944,4,5,30
1944,5,5,34
1944,6,5,183.4
1944,7,5,14
1944,8,5,140
1944,9,5,8.5
1944,10,5,4
1944,11,5,0
1944,12,5,0
1945,1,5,0
1945,2,5,48
1945,3,5,0
1945,4,5,12
1945,5,5,0
1945,6,5,14
1945,7,5,28
1945,8,5,0
1945,9,5,33
1945,10,5,0
1945,11,5,0
1945,12,5,0
1946,1,5,0
1946,2,5,0
1946,3,5,0
1946,4,5,0
1946,5,5,56
1946,6,5,52
1946,7,5,20
1946,8,5,5
1946,9,5,0
1946,10,5,0
1946,11,5,0
1946,12,5,0
1947,1,5,0
1947,2,5,0
1947,3,5,0
1947,4,5,3
1947,5,5,0
1947,6,5,53
1947,7,5,50
1947,8,5,70
1947,9,5,0
1947,10,5,7
1947,11,5,0
1947,12,5,0
1948,1,5,0
1948,2,5,0
1948,3,5,20
1948,4,5,20
1948,5,5,31
1948,6,5,52
1948,7,5,158.9
1948,8,5,24
1948,9,5,0
1948,10,5,0
1948,11,5,0
1948,12,5,0
1949,1,5,0
1949,2,5,0
1949,3,5,0
1949,4,5,0
1949,5,5,36
1949,6,5,23
1949,7,5,83
1949,8,5,62
1949,9,5,0
1949,10,5,0
1949,11,5,0
1949,12,5,0
1950,1,5,0
1950,2,5,0
1950,3,5,0
1950,4,5,18
1950,5,5,175
1950,6,5,3
1950,7,5,0
1950,8,5,23
1950,9,5,20
1950,10,5,0
1950,11,5,0
1950,12,5,0
1951,1,5,0
1951,2,5,0
1951,3,5,0
1951,4,5,23
1951,5,5,13
1951,6,5,28
1951,7,5,48.5
1951,8,5,3
1951,9,5,3.5
1951,10,5,0
1951,11,5,0
1951,12,5,0
1952,1,5,0
1952,2,5,0
1952,3,5,0
1952,4,5,0
1952,5,5,51.6
1952,6,5,127.2
1952,7,5,61
1952,8,5,30
1952,9,5,9
1952,10,5,0
1952,11,5,0
1952,12,5,0
1953,1,5,0
1953,2,5,0
1953,3,5,0
1953,4,5,5
1953,5,5,96.9
1953,6,5,38.5
1953,7,5,19
1953,8,5,89
1953,9,5,75
1953,10,5,0
1953,11,5,0
1953,12,5,0
1954,1,5,0
1954,2,5,0
1954,3,5,0
1954,4,5,46
1954,5,5,73
1954,6,5,66
1954,7,5,28
1954,8,5,20
1954,9,5,0
1954,10,5,0
1954,11,5,0
1954,12,5,0
1955,1,5,0
1955,2,5,0
1955,3,5,0
1955,4,5,0
1955,5,5,48
1955,6,5,0
1955,7,5,7
1955,8,5,18
1955,9,5,0
1955,10,5,14.5
1955,11,5,0
1955,12,5,0
1956,1,5,0
1956,2,5,0
1956,3,5,0
1956,4,5,0
1956,5,5,48
1956,6,5,7
1956,7,5,12
1956,8,5,11
1956,9,5,0
1956,10,5,0
1956,11,5,0
1956,12,5,0
1957,1,5,0
1957,2,5,0
1957,3,5,0
1957,4,5,0
1957,5,5,269
1957,6,5,0
1957,7,5,40
1957,8,5,14
1957,9,5,0
1957,10,5,41
1957,11,5,0
1957,12,5,44
1958,1,5,0
1958,2,5,0
1958,3,5,0
1958,4,5,0
1958,6,5,61
1958,7,5,45
1958,8,5,20
1958,9,5,0
1958,10,5,13.5
1958,11,5,0
1958,12,5,0
1959,1,5,0
1959,2,5,4
1959,3,5,0
1959,5,5,0
1959,6,5,169.9
1959,7,5,16
1959,8,5,27
1959,9,5,0
1959,10,5,0
1959,11,5,0
1959,12,5,0
1960,1,5,0
1960,2,5,0
1960,3,5,0
1960,4,5,7
1960,5,5,13.5
1960,6,5,52.5
1960,7,5,21.5
1960,8,5,0
1960,9,5,0
1960,10,5,1
1960,11,5,0
1960,12,5,0
1961,1,5,0
1961,2,5,0
1961,3,5,4
1961,4,5,0
1961,5,5,8
1961,6,5,164.5
1961,7,5,48.5
1961,8,5,189
1961,9,5,0
1961,10,5,29
1961,11,5,0
1961,12,5,3
1962,1,5,0
1962,2,5,0
1962,3,5,15
1962,4,5,0
1962,5,5,1
1962,6,5,88.4
1962,7,5,10
1962,8,5,18.5
1962,9,5,0
1962,10,5,37.5
1962,11,5,0
1962,12,5,0
1963,1,5,5
1963,2,5,0
1963,3,5,0
1963,4,5,0
1963,5,5,36.5
1963,6,5,108
1963,7,5,63
1963,8,5,64
1963,9,5,218
1963,10,5,13
1963,11,5,21.5
1963,12,5,0
1964,1,5,0
1964,2,5,0
1964,3,5,0
1964,4,5,0
1964,5,5,0
1964,6,5,70
1964,7,5,21.5
1964,8,5,47
1964,9,5,0
1964,10,5,0
1964,11,5,0
1964,12,5,0
1965,1,5,4
1965,2,5,0
1965,3,5,0
1965,4,5,44
1965,5,5,32.5
1965,6,5,12
1965,7,5,219
1965,8,5,271
1965,9,5,21
1965,10,5,3
1965,11,5,14
1965,12,5,0
1966,1,5,0
1966,2,5,0
1966,3,5,0
1966,4,5,12
1966,5,5,0
1966,6,5,158.5
1966,7,5,111
1966,8,5,44
1966,9,5,0
1966,10,5,0
1966,11,5,17
1966,12,5,0
1967,1,5,0
1967,2,5,0
1967,3,5,0
1967,4,5,0
1967,5,5,0
1967,6,5,49
1967,7,5,15
1967,8,5,7
1967,9,5,20.5
1967,10,5,4
1967,11,5,0
1967,12,5,0
1968,1,5,0
1968,2,5,0
1968,3,5,0
1968,4,5,0
1968,5,5,0
1968,6,5,41.5
1968,7,5,0
1968,8,5,0
1968,9,5,26.5
1968,10,5,0
1968,11,5,0
1968,12,5,0
1969,1,5,0
1969,2,5,0
1969,3,5,0
1970,1,5,0
1970,2,5,0
1970,3,5,0
1970,4,5,0
1970,5,5,28
1970,6,5,0
1970,7,5,65.9
1970,8,5,14
1970,9,5,1
1970,10,5,14
1970,11,5,0
1970,12,5,0
1971,1,5,7
1971,2,5,0
1971,3,5,8
1971,4,5,0
1971,5,5,0
1971,6,5,52
1971,7,5,13
1971,8,5,34
1971,9,5,24
1971,10,5,0
1971,11,5,0
1971,12,5,0
1972,1,5,0
1972,2,5,0
1972,3,5,0
1972,4,5,0
1972,5,5,20.5
1972,6,5,394.1
1972,7,5,26.5
1972,8,5,106.5
1972,9,5,58
1972,10,5,11
1972,11,5,2
1972,12,5,0
1973,1,5,0
1973,2,5,0
1973,3,5,0
1973,4,5,5
1973,5,5,7
1973,6,5,49
1973,7,5,62
1973,8,5,0
1973,9,5,0
1973,10,5,11
1973,11,5,0
1973,12,5,0
1974,1,5,0
1974,2,5,0
1974,3,5,0
1974,4,5,0
1974,5,5,14
1974,6,5,91
1974,7,5,0
1974,8,5,4
1974,9,5,22
1974,10,5,0
1974,11,5,0
1974,12,5,0
1975,1,5,0
1975,2,5,0
1975,3,5,2.9
1975,4,5,0
1975,5,5,42.5
1975,6,5,49
1975,7,5,29
1975,8,5,36
1975,9,5,0
1975,10,5,0
1975,11,5,0
1975,12,5,0
1976,1,5,4
1976,2,5,4
1976,3,5,0
1976,4,5,0
1976,5,5,86
1976,6,5,0
1976,7,5,3
1976,8,5,35.5
1976,9,5,0
1976,10,5,17
1976,11,5,0
1976,12,5,0
1977,1,5,0
1977,2,5,0
1977,3,5,0
1977,4,5,4
1977,5,5,19
1977,6,5,43
1977,7,5,197
1977,8,5,32
1977,9,5,0
1977,10,5,18.5
